"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000216064.1","ENSEMBL","gene",NA,NA,"ENSG00000216064.1","miRNA","MIR891B","3","HGNC:33645",NA
"ENSG00000216069.1","ENSEMBL","gene",NA,NA,"ENSG00000216069.1","miRNA","MIR875","3","HGNC:33652",NA
"ENSG00000216075.1","ENSEMBL","gene",NA,NA,"ENSG00000216075.1","miRNA","MIR890","3","HGNC:33644",NA
"ENSG00000216077.3","ENSEMBL","gene",NA,NA,"ENSG00000216077.3","miRNA","MIR887","3","HGNC:33661",NA
"ENSG00000216098.1","ENSEMBL","gene",NA,NA,"ENSG00000216098.1","miRNA","MIR892B","3","HGNC:33649",NA
"ENSG00000216099.3","ENSEMBL","gene",NA,NA,"ENSG00000216099.3","miRNA","MIR889","3","HGNC:33651",NA
"ENSG00000216101.3","ENSEMBL","gene",NA,NA,"ENSG00000216101.3","miRNA","MIR877","3","HGNC:33660",NA
"ENSG00000216135.3","ENSEMBL","gene",NA,NA,"ENSG00000216135.3","miRNA","MIR885","3","HGNC:33659",NA
"ENSG00000216141.3","ENSEMBL","gene",NA,NA,"ENSG00000216141.3","miRNA","MIR941-2","3","HGNC:33685",NA
"ENSG00000216171.1","ENSEMBL","gene",NA,NA,"ENSG00000216171.1","miRNA","MIR513C","3","HGNC:33934",NA
"ENSG00000216179.1","ENSEMBL","gene",NA,NA,"ENSG00000216179.1","miRNA","MIR541","3","HGNC:33650",NA
"ENSG00000216191.1","ENSEMBL","gene",NA,NA,"ENSG00000216191.1","miRNA","MIR8485","3","HGNC:50839",NA
"ENSG00000216192.1","ENSEMBL","gene",NA,NA,"ENSG00000216192.1","miRNA","MIR920","3","HGNC:33670",NA
"ENSG00000216195.3","ENSEMBL","gene",NA,NA,"ENSG00000216195.3","miRNA","MIR941-4","3","HGNC:33687",NA
"ENSG00000216265.1","HAVANA","gene",NA,NA,"ENSG00000216265.1","processed_pseudogene","FABP12P1","2","HGNC:45176","OTTHUMG00000015780.1"
"ENSG00000216285.5","HAVANA","gene",NA,NA,"ENSG00000216285.5","processed_pseudogene","AC078819.1","2",NA,"OTTHUMG00000170174.1"
"ENSG00000216306.3","HAVANA","gene",NA,NA,"ENSG00000216306.3","transcribed_processed_pseudogene","KRT19P2","1","HGNC:33423","OTTHUMG00000170700.1"
"ENSG00000216307.2","HAVANA","gene",NA,NA,"ENSG00000216307.2","processed_pseudogene","AL136309.1","1",NA,"OTTHUMG00000014162.2"
